date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:11	129604/129604	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2013:15:00%20GMT	http://azim.commonsupport.com/Metlife/assets/images/background/chooseus-2.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/background/chooseus-2.jpg	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:19	43015/43015	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2015:03:36%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/quote-1.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/quote-1.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:21	32253/32253	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2019:23:02%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-40.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-40.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:22	13064/13064	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202020%2018:47:32%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/testimonial-3.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/testimonial-3.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:28	24773/24773	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2000:22:52%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-44.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-44.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:31	19203/19203	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2000:19:30%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-43.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-43.png	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:35	156026/156026	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Aug%202020%2019:15:12%20GMT	http://azim.commonsupport.com/Metlife/assets/images/background/testimonial-1.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/background/testimonial-1.jpg	(from http://azim.commonsupport.com/Metlife/index-2.html)
23:46:51	115433/115433	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2012:52:00%20GMT	http://azim.commonsupport.com/Metlife/assets/images/banner/banner-10.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/banner/banner-10.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:46:55	201003/201003	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2012:50:54%20GMT	http://azim.commonsupport.com/Metlife/assets/images/banner/banner-8.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/banner/banner-8.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:46:59	172202/172202	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2012:51:42%20GMT	http://azim.commonsupport.com/Metlife/assets/images/banner/banner-9.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/banner/banner-9.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:46:59	37056/37056	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2015:06:26%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/feature-4.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/feature-4.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:04	35224/35224	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2015:07:04%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/feature-5.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/feature-5.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:04	1611/1611	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2015:48:46%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-46.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-46.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:05	1411359/1411359	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2018%20Jul%202020%2020:40:06%20GMT	http://azim.commonsupport.com/Metlife/assets/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/fonts/fa-solid-900.svg	(from http://azim.commonsupport.com/Metlife/assets/css/font-awesome-all.css)
23:47:06	1369/1369	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2015:49:38%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-47.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-47.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:09	4214/4214	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2015:45:16%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-45.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-45.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:11	9359/9359	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2016:36:00%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-48.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-48.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:11	47660/47660	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2015:07:42%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/feature-6.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/feature-6.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:14	7693/7693	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:10:42%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-49.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-49.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:14	65768/65768	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2015:36:16%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/about-4.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/about-4.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:19	3246/3246	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:24:12%20GMT	http://azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-6.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-6.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:19	36156/36156	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:02:56%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/faq-1.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/faq-1.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:20	3765/3765	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:24:24%20GMT	http://azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-7.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-7.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:21	3771/3771	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:24:38%20GMT	http://azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-8.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-8.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:21	3319/3319	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:24:50%20GMT	http://azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-9.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-9.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:22	3059/3059	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2020:25:02%20GMT	http://azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-10.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/clients/clients-logo-10.png	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:23	5930/5930	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2001:00:00%20GMT	http://azim.commonsupport.com/Metlife/assets/css/rtl.css	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/css/rtl.css	(from http://azim.commonsupport.com/Metlife/index-rtl.html)
23:47:23	5363/5363	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Mar%202018%2023:40:12%20GMT	http://azim.commonsupport.com/Metlife/assets/js/pagenav.js	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/js/pagenav.js	(from http://azim.commonsupport.com/Metlife/index-onepage.html)
